AcceptedNameGBIF;OriginalNameDB;ID_GBIF;Kingdom;Order;Family;Phylum;Class;EstablishmentMeans;Pathways;FunctionalGroup;Group;NativeCountry;InvadedCountry;InvadedCountryISO3;AffectedNativeSpecies;EICATImpact;Mechanisms;EICAT_by_Mechanism;Habitat;FirstRecords;OldestDate;Source_Data
Abbottina rivularis;Abbottina rivularis;5206304;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Acanthogobius flavimanus;Acanthogobius flavimanus;2375974;Metazoa;perciformes;Gobiidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Aedes albopictus;Aedes albopictus;1651430;Metazoa;diptera;Culicidae;arthropoda;insecta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lachnagrostis filiformis;Agrostis avenacea;4135963;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alburnus alburnus;Alburnus alburnus;2362925;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alopochen aegyptiaca;Alopochen aegyptiaca;2498252;Metazoa;anseriformes;Anatidae;chordata;aves;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alosa aestivalis;Alosa aestivalis;2412708;Metazoa;clupeiformes;Clupeidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alosa pseudoharengus;Alosa pseudoharengus;2412740;Metazoa;clupeiformes;Clupeidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alpinia zerumbet;Alpinia zerumbet;5301979;Plantae;zingiberales;Zingiberaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alternanthera philoxeroides;Alternanthera philoxeroides;3084923;Plantae;caryophyllales;Amaranthaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Alternanthera sessilis;Alternanthera sessilis;3084939;Plantae;caryophyllales;Amaranthaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Amatitlania nigrofasciata;Amatitlania nigrofasciata;2370027;Metazoa;perciformes;Cichlidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ambloplites rupestris;Ambloplites rupestris;2394514;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ambrosia artemisiifolia;Ambrosia artemisiifolia;8002952;Plantae;asterales;Asteraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ambrosia trifida;Ambrosia trifida;3110588;Plantae;asterales;Asteraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
